36_1_6837,36_1_6823,36_1_6811,36_1_6820,36_1_6829,36_1_6806,36_1_6826,36_1_6836,36_1_6813,36_1_6816,36_1_6840,36_1_6828
-0.5667924677935373,-0.5667924677935373,-0.5667924677935373,-0.5667924677935373,-0.5667924677935373,-0.5667924677935373,-0.5667924677935373,-0.5667924677935373,-0.5667924677935373,-0.5667924677935373,-0.5667924677935373,-0.5667924677935373
-0.5677733080642207,-0.5677733080642207,-0.5677733080642207,-0.5677733080642207,-0.5677733080642207,-0.5677733080642207,-0.5677733080642207,-0.5677733080642207,-0.5677733080642207,-0.5677733080642207,-0.5677733080642207,-0.5677733080642207
-0.5701007350042416,-0.5701007350042416,-0.5701007350042416,-0.5701007350042416,-0.5701007350042416,-0.5701007350042416,-0.5701007350042416,-0.5701007350042416,-0.5701007350042416,-0.5701007350042416,-0.5701007350042416,-0.5701007350042416
-0.570960906322813,-0.570960906322813,-0.570960906322813,-0.570960906322813,-0.570960906322813,-0.570960906322813,-0.570960906322813,-0.570960906322813,-0.570960906322813,-0.570960906322813,-0.570960906322813,-0.570960906322813
-0.5716555184482609,-0.5716555184482609,-0.5716555184482609,-0.5716555184482609,-0.5716555184482609,-0.5716555184482609,-0.5716555184482609,-0.5716555184482609,-0.5716555184482609,-0.5716555184482609,-0.5716555184482609,-0.5716555184482609
-0.5752778508669986,-0.5752778508669986,-0.5752778508669986,-0.5752778508669986,-0.5752778508669986,-0.5752778508669986,-0.5752778508669986,-0.5752778508669986,-0.5752778508669986,-0.5752778508669986,-0.5752778508669986,-0.5752778508669986
-0.5775459722797539,-0.5775459722797539,-0.5775459722797539,-0.5775459722797539,-0.5775459722797539,-0.5775459722797539,-0.5775459722797539,-0.5775459722797539,-0.5775459722797539,-0.5775459722797539,-0.5775459722797539,-0.5775459722797539
-0.581033292863578,-0.581033292863578,-0.581033292863578,-0.581033292863578,-0.581033292863578,-0.581033292863578,-0.581033292863578,-0.581033292863578,-0.581033292863578,-0.581033292863578,-0.581033292863578,-0.581033292863578
-0.5834929833795114,-0.5834929833795114,-0.5834929833795114,-0.5834929833795114,-0.5834929833795114,-0.5834929833795114,-0.5834929833795114,-0.5834929833795114,-0.5834929833795114,-0.5834929833795114,-0.5834929833795114,-0.5834929833795114
-0.5860127444398351,-0.5860127444398351,-0.5860127444398351,-0.5860127444398351,-0.5860127444398351,-0.5860127444398351,-0.5860127444398351,-0.5860127444398351,-0.5860127444398351,-0.5860127444398351,-0.5860127444398351,-0.5860127444398351
-0.5937840990403247,-0.5937840990403247,-0.5937840990403247,-0.5937840990403247,-0.5937840990403247,-0.5937840990403247,-0.5937840990403247,-0.5937840990403247,-0.5937840990403247,-0.5937840990403247,-0.5937840990403247,-0.5937840990403247
-0.5917865858699024,-0.5917865858699024,-0.5917865858699024,-0.5917865858699024,-0.5917865858699024,-0.5917865858699024,-0.5917865858699024,-0.5917865858699024,-0.5917865858699024,-0.5917865858699024,-0.5917865858699024,-0.5917865858699024
-0.5951938466306154,-0.5951938466306154,-0.5951938466306154,-0.5951938466306154,-0.5951938466306154,-0.5951938466306154,-0.5951938466306154,-0.5951938466306154,-0.5951938466306154,-0.5951938466306154,-0.5951938466306154,-0.5951938466306154
-0.5998283227433998,-0.5998283227433998,-0.5998283227433998,-0.5998283227433998,-0.5998283227433998,-0.5998283227433998,-0.5998283227433998,-0.5998283227433998,-0.5998283227433998,-0.5998283227433998,-0.5998283227433998,-0.5998283227433998
-0.6007001461614849,-0.6007001461614849,-0.6007001461614849,-0.6007001461614849,-0.6007001461614849,-0.6007001461614849,-0.6007001461614849,-0.6007001461614849,-0.6007001461614849,-0.6007001461614849,-0.6007001461614849,-0.6007001461614849
-0.6133547140826526,-0.6133547140826526,-0.6133547140826526,-0.6133547140826526,-0.6133547140826526,-0.6133547140826526,-0.6133547140826526,-0.6133547140826526,-0.6133547140826526,-0.6133547140826526,-0.6133547140826526,-0.6133547140826526
-0.61235906929441,-0.61235906929441,-0.61235906929441,-0.61235906929441,-0.61235906929441,-0.61235906929441,-0.61235906929441,-0.61235906929441,-0.61235906929441,-0.61235906929441,-0.61235906929441,-0.61235906929441
-0.6090812365275422,-0.6090812365275422,-0.6090812365275422,-0.6090812365275422,-0.6090812365275422,-0.6090812365275422,-0.6090812365275422,-0.6090812365275422,-0.6090812365275422,-0.6090812365275422,-0.6090812365275422,-0.6090812365275422
-0.6132489507802048,-0.6132489507802048,-0.6132489507802048,-0.6132489507802048,-0.6132489507802048,-0.6132489507802048,-0.6132489507802048,-0.6132489507802048,-0.6132489507802048,-0.6132489507802048,-0.6132489507802048,-0.6132489507802048
-0.6219051306200314,-0.6219051306200314,-0.6219051306200314,-0.6219051306200314,-0.6219051306200314,-0.6219051306200314,-0.6219051306200314,-0.6219051306200314,-0.6219051306200314,-0.6219051306200314,-0.6219051306200314,-0.6219051306200314
-0.6439267946334456,-0.6439267946334456,-0.6439267946334456,-0.6439267946334456,-0.6439267946334456,-0.6439267946334456,-0.6439267946334456,-0.6439267946334456,-0.6439267946334456,-0.6439267946334456,-0.6439267946334456,-0.6439267946334456
-0.6435284577775539,-0.6435284577775539,-0.6435284577775539,-0.6435284577775539,-0.6435284577775539,-0.6435284577775539,-0.6435284577775539,-0.6435284577775539,-0.6435284577775539,-0.6435284577775539,-0.6435284577775539,-0.6435284577775539
-0.6413300141205742,-0.6413300141205742,-0.6413300141205742,-0.6413300141205742,-0.6413300141205742,-0.6413300141205742,-0.6413300141205742,-0.6413300141205742,-0.6413300141205742,-0.6413300141205742,-0.6413300141205742,-0.6413300141205742
-0.6479449455819857,-0.6479449455819857,-0.6479449455819857,-0.6479449455819857,-0.6479449455819857,-0.6479449455819857,-0.6479449455819857,-0.6479449455819857,-0.6479449455819857,-0.6479449455819857,-0.6479449455819857,-0.6479449455819857
-0.6526815883594874,-0.6526815883594874,-0.6526815883594874,-0.6526815883594874,-0.6526815883594874,-0.6526815883594874,-0.6526815883594874,-0.6526815883594874,-0.6526815883594874,-0.6526815883594874,-0.6526815883594874,-0.6526815883594874
-0.6675210901250872,-0.6675210901250872,-0.6675210901250872,-0.6675210901250872,-0.6675210901250872,-0.6675210901250872,-0.6675210901250872,-0.6675210901250872,-0.6675210901250872,-0.6675210901250872,-0.6675210901250872,-0.6675210901250872
-0.6665609977161975,-0.6665609977161975,-0.6665609977161975,-0.6665609977161975,-0.6665609977161975,-0.6665609977161975,-0.6665609977161975,-0.6665609977161975,-0.6665609977161975,-0.6665609977161975,-0.6665609977161975,-0.6665609977161975
-0.6724842992266953,-0.6724842992266953,-0.6724842992266953,-0.6724842992266953,-0.6724842992266953,-0.6724842992266953,-0.6724842992266953,-0.6724842992266953,-0.6724842992266953,-0.6724842992266953,-0.6724842992266953,-0.6724842992266953
-0.6798288755739766,-0.6798288755739766,-0.6798288755739766,-0.6798288755739766,-0.6798288755739766,-0.6798288755739766,-0.6798288755739766,-0.6798288755739766,-0.6798288755739766,-0.6798288755739766,-0.6798288755739766,-0.6798288755739766
-0.6974243093745153,-0.6974243093745153,-0.6974243093745153,-0.6974243093745153,-0.6974243093745153,-0.6974243093745153,-0.6974243093745153,-0.6974243093745153,-0.6974243093745153,-0.6974243093745153,-0.6974243093745153,-0.6974243093745153
-0.7157472933266324,-0.7157472933266324,-0.7157472933266324,-0.7157472933266324,-0.7157472933266324,-0.7157472933266324,-0.7157472933266324,-0.7157472933266324,-0.7157472933266324,-0.7157472933266324,-0.7157472933266324,-0.7157472933266324
-0.7088268873010716,-0.7088268873010716,-0.7088268873010716,-0.7088268873010716,-0.7088268873010716,-0.7088268873010716,-0.7088268873010716,-0.7088268873010716,-0.7088268873010716,-0.7088268873010716,-0.7088268873010716,-0.7088268873010716
-0.7161584472202772,-0.7161584472202772,-0.7161584472202772,-0.7161584472202772,-0.7161584472202772,-0.7161584472202772,-0.7161584472202772,-0.7161584472202772,-0.7161584472202772,-0.7161584472202772,-0.7161584472202772,-0.7161584472202772
-0.7272703875355078,-0.7272703875355078,-0.7272703875355078,-0.7272703875355078,-0.7272703875355078,-0.7272703875355078,-0.7272703875355078,-0.7272703875355078,-0.7272703875355078,-0.7272703875355078,-0.7272703875355078,-0.7272703875355078
-0.7346704970526247,-0.7346704970526247,-0.7346704970526247,-0.7346704970526247,-0.7346704970526247,-0.7346704970526247,-0.7346704970526247,-0.7346704970526247,-0.7346704970526247,-0.7346704970526247,-0.7346704970526247,-0.7346704970526247
-0.7559858491102581,-0.7559858491102581,-0.7559858491102581,-0.7559858491102581,-0.7559858491102581,-0.7559858491102581,-0.7559858491102581,-0.7559858491102581,-0.7559858491102581,-0.7559858491102581,-0.7559858491102581,-0.7559858491102581
-0.7625742880845209,-0.7625742880845209,-0.7625742880845209,-0.7625742880845209,-0.7625742880845209,-0.7625742880845209,-0.7625742880845209,-0.7625742880845209,-0.7625742880845209,-0.7625742880845209,-0.7625742880845209,-0.7625742880845209
-0.7744322568593596,-0.7744322568593596,-0.7744322568593596,-0.7744322568593596,-0.7744322568593596,-0.7744322568593596,-0.7744322568593596,-0.7744322568593596,-0.7744322568593596,-0.7744322568593596,-0.7744322568593596,-0.7744322568593596
-0.783539037985425,-0.783539037985425,-0.783539037985425,-0.783539037985425,-0.783539037985425,-0.783539037985425,-0.783539037985425,-0.783539037985425,-0.783539037985425,-0.783539037985425,-0.783539037985425,-0.783539037985425
-0.7938034527445283,-0.7938034527445283,-0.7938034527445283,-0.7938034527445283,-0.7938034527445283,-0.7938034527445283,-0.7938034527445283,-0.7938034527445283,-0.7938034527445283,-0.7938034527445283,-0.7938034527445283,-0.7938034527445283
-0.8033271982014187,-0.8033271982014187,-0.8033271982014187,-0.8033271982014187,-0.8033271982014187,-0.8033271982014187,-0.8033271982014187,-0.8033271982014187,-0.8033271982014187,-0.8033271982014187,-0.8033271982014187,-0.8033271982014187
-0.8207650260413168,-0.8207650260413168,-0.8207650260413168,-0.8207650260413168,-0.8207650260413168,-0.8207650260413168,-0.8207650260413168,-0.8207650260413168,-0.8207650260413168,-0.8207650260413168,-0.8207650260413168,-0.8207650260413168
-0.8386190114226711,-0.8386190114226711,-0.8386190114226711,-0.8386190114226711,-0.8386190114226711,-0.8386190114226711,-0.8386190114226711,-0.8386190114226711,-0.8386190114226711,-0.8386190114226711,-0.8386190114226711,-0.8386190114226711
-0.8653283131269947,-0.8653283131269947,-0.8653283131269947,-0.8653283131269947,-0.8653283131269947,-0.8653283131269947,-0.8653283131269947,-0.8653283131269947,-0.8653283131269947,-0.8653283131269947,-0.8653283131269947,-0.8653283131269947
-0.8736514724603491,-0.8736514724603491,-0.8736514724603491,-0.8736514724603491,-0.8736514724603491,-0.8736514724603491,-0.8736514724603491,-0.8736514724603491,-0.8736514724603491,-0.8736514724603491,-0.8736514724603491,-0.8736514724603491
-0.8929561983382837,-0.8929561983382837,-0.8929561983382837,-0.8929561983382837,-0.8929561983382837,-0.8929561983382837,-0.8929561983382837,-0.8929561983382837,-0.8929561983382837,-0.8929561983382837,-0.8929561983382837,-0.8929561983382837
-0.9269406455143773,-0.9269406455143773,-0.9269406455143773,-0.9269406455143773,-0.9269406455143773,-0.9269406455143773,-0.9269406455143773,-0.9269406455143773,-0.9269406455143773,-0.9269406455143773,-0.9269406455143773,-0.9269406455143773
-0.9085799409182328,-0.9085799409182328,-0.9085799409182328,-0.9085799409182328,-0.9085799409182328,-0.9085799409182328,-0.9085799409182328,-0.9085799409182328,-0.9085799409182328,-0.9085799409182328,-0.9085799409182328,-0.9085799409182328
-0.9652256110460995,-0.9652256110460995,-0.9652256110460995,-0.9652256110460995,-0.9652256110460995,-0.9652256110460995,-0.9652256110460995,-0.9652256110460995,-0.9652256110460995,-0.9652256110460995,-0.9652256110460995,-0.9652256110460995
